"Url","Item_Name","Item_Price","Date_Checked"
"https://www.amazon.in/Mi-Driver-Earphones-Tangle-Free-Assistant/dp/B084J4MKZG/ref=sxin_15_aspa_sqa?content-id=amzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470%3Aamzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B084J4MKZG&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=QW5Cf&pd_rd_wg=Vjb4l&pf_rd_p=c9534fda-67f9-4ffd-8b74-d925dc7fd470&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-3-9e85f757-0438-470e-8160-8465beaa22d5","MI Dual Driver in-Ear Wired Earphone with Mic, 10mm & 8 mm Dynamic Drivers for Crisp Vocals & Rich Bass, Passive Noise Cancellation, Magnetic Earbuds, Tangle-Free Braided Cable (Black)","799","12/27/22"
"https://www.amazon.in/CrossBeats-Environmental-EchoBlastTM-SnapChargeTM-Earphone-Black/dp/B0BD7T5287/ref=sxin_15_aspa_sqa?content-id=amzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470%3Aamzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B0BD7T5287&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=QW5Cf&pd_rd_wg=Vjb4l&pf_rd_p=c9534fda-67f9-4ffd-8b74-d925dc7fd470&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-5-9e85f757-0438-470e-8160-8465beaa22d5","CrossBeats Newly launched shuffl Neckband Environmental Noise Cancelling 13mm Drivers EchoBlast™, Fast Charging with SnapCharge™, Up to 72Hrs Playtime 40ms Low Latency Earphone—Black","1,499","12/27/22"
"https://www.amazon.in/Earphones-Cancelling-Earbuds-Earphone-Tangle-Free/dp/B09JMS1KM4/ref=sxin_15_aspa_sqa?content-id=amzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470%3Aamzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B09JMS1KM4&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=QW5Cf&pd_rd_wg=Vjb4l&pf_rd_p=c9534fda-67f9-4ffd-8b74-d925dc7fd470&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-7-9e85f757-0438-470e-8160-8465beaa22d5","ESTILO in-Ear Wired High Bass Earphones with 10mm Extra Bass Driver for Stereo Audio, Noise Cancelling Metal Earbuds, HD Sound Earphone with Mic (Black) & Tangle-Free Cable &3.5 mm Aux","399","12/27/22"
"https://www.amazon.in/Monoprice-109396-Hi-Fi-Isolating-Earphones/dp/B00AJHCJ2Q/ref=sxin_15_aspa_sqa?content-id=amzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470%3Aamzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B00AJHCJ2Q&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=QW5Cf&pd_rd_wg=Vjb4l&pf_rd_p=c9534fda-67f9-4ffd-8b74-d925dc7fd470&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-2-9e85f757-0438-470e-8160-8465beaa22d5","Monoprice 109396 Hi-Fi Noise Isolating Earphones (Black/Red)","1,641","12/27/22"
"https://www.amazon.in/Earphone-Revonext-Headphones-Isolating-Detachable/dp/B07PCQ4V5Z/ref=sxin_15_aspa_sqa?content-id=amzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470%3Aamzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B07PCQ4V5Z&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=QW5Cf&pd_rd_wg=Vjb4l&pf_rd_p=c9534fda-67f9-4ffd-8b74-d925dc7fd470&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-4-9e85f757-0438-470e-8160-8465beaa22d5","Better Hifi Dj In Ear Earphone,Revonext Qt5 1Dd+1Ba Hybrid In Ear Headphones, Metal Housing Noise Isolating Running Sport In Ear Monitor With Dynamic With 2 Pin 0.78Mm Detachable Cable(Gun With Mic)","2,299","12/27/22"
"https://www.amazon.in/Isolating-Sleeping-Earphone-Insomnia-Microphone/dp/B081B5XRR4/ref=sxin_15_aspa_sqa?content-id=amzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470%3Aamzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B081B5XRR4&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=QW5Cf&pd_rd_wg=Vjb4l&pf_rd_p=c9534fda-67f9-4ffd-8b74-d925dc7fd470&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-6-9e85f757-0438-470e-8160-8465beaa22d5","Geekria Sleep Earbuds, Noise Isolating Ear Plugs, Mini ASMR Sleeping Earphone, Fit for Light Sleep, Insomnia, Side Sleep, Air Travel, White Noise (with Microphone and Volume Control, Gray)","1,756","12/27/22"
"https://www.amazon.in/RevoNext-Noise-Isolating-Balanced-Detachable-Color-Mic/dp/B07NYZHFMY/ref=sxin_15_aspa_sqa?content-id=amzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470%3Aamzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B07NYZHFMY&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=QW5Cf&pd_rd_wg=Vjb4l&pf_rd_p=c9534fda-67f9-4ffd-8b74-d925dc7fd470&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-8-9e85f757-0438-470e-8160-8465beaa22d5","RevoNext QT5 in Ear Monitor, Noise-Isolating Dual Driver 1DD+1BA Balanced Armature with Dynamic Heavy Metal Shell Deep Bass Wired Earbuds with Detachable Cables(Gun Color-Mic)","2,499","12/27/22"
"https://www.amazon.in/realme-Buds-Wired-Earphones-Black/dp/B097KM3Z16/ref=sr_1_6?keywords=earphones&qid=1672160829&sr=8-6","realme Buds 2 Neo Wired in Ear Earphones with Mic (Black)","499","12/27/22"
"https://www.amazon.in/Zebronics-Zeb-Bro-Wired-Earphone/dp/B07T5DKR5D/ref=sr_1_7?keywords=earphones&qid=1672160829&sr=8-7","ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)","149","12/27/22"
"https://www.amazon.in/Zebronics-Zeb-Bro-Wired-Earphone-White/dp/B08ZJ8C341/ref=sr_1_8?keywords=earphones&qid=1672160829&sr=8-8","ZEBRONICS Zeb-Bro Wired in Ear Earphone with Mic (White)","149","12/27/22"
